"id","title","label","URL","embedding"
"0","Bloodshot","super-hero","https://en.wikipedia.org/wiki/Bloodshot_(film)","[0.4940593  0.47390655 0.30203876 0.6588187  0.19109952 0.26970097
 0.6751334  0.         0.         0.45430335 0.09473305 0.44540486
 0.32632738 0.31098256 0.49666542 0.02985581 0.16625382 0.49673286
 0.20155576 0.41965574 0.10426788 0.40577093 0.         0.17371945
 0.21195881 0.8951575  0.         0.39566916 0.12271477 0.04543865
 0.4088053  0.0568677  0.36921418 0.         0.9453614  0.24305147
 0.1982403  0.31288457 0.09202844 0.11243884 0.         0.3745361
 0.18064152 0.         0.3570129  0.7815765  0.04505062 0.
 0.17126738 0.         0.09736674 0.60586053 0.11118872 0.864445
 0.21303703 0.22685528 0.         0.4609318  0.24677683 0.4123815
 0.10341089 0.58268815 0.13678254 0.24208015 0.5420283  0.08211989
 0.00495699 0.8491002  0.         0.3521508  0.36174607 0.52314717
 0.34737244 0.06601944 0.         0.02717658 0.3563195  0.
 0.37652582 0.10530153 0.         0.47478765 0.17079322 0.5551985
 0.09608875 0.         0.406161   0.         0.1936824  0.49961826
 0.07672426 0.16606957 0.47307009 0.358679   0.09888126 0.44608733
 0.         0.22747646 0.373044   0.20146215 0.30169526 0.
 0.45070827 0.44403544 0.07793471 0.54471874 0.85460097 0.00315266
 0.1351065  0.         0.         0.         0.4263147  0.66834974
 0.4313162  0.85570496 0.23828883 0.45251393 0.6526448  0.28239137
 0.63242966 0.16098648 0.7351213  0.         0.         0.
 0.         0.4289834 ]"
"1","Watchmen","super-hero","https://en.wikipedia.org/wiki/Watchmen_(film)","[0.29405698 0.1084234  0.8060935  0.13414872 0.03285617 0.13335173
 0.07641261 0.         0.9885228  0.21027638 0.30681494 1.1236006
 0.         0.20154949 0.54053056 0.23850888 0.         0.10884998
 0.7843737  0.61795986 0.         0.42930004 0.21005903 0.19399977
 0.52132684 0.8862367  0.         0.68281287 0.8088049  0.23077467
 0.43180817 0.42101923 0.04679769 0.         0.4784145  0.22045389
 1.3321954  0.4914053  0.09327767 0.14582919 0.77135617 0.1314582
 0.15411428 0.45662805 0.3140024  0.722095   0.         0.6577748
 0.5453495  1.1557903  0.51277786 0.34510148 0.30120167 1.4327399
 0.12464141 0.8683014  0.85973024 0.17867278 0.09608907 0.9541607
 0.49347568 0.14810693 0.         1.3267357  0.5543253  0.08295192
 0.41031614 0.25804827 0.43027484 0.01884255 0.34703013 0.25054553
 0.         0.         0.         0.         0.38329566 0.36403012
 0.3832023  0.         0.         0.5290276  0.3935213  0.44922978
 0.47848403 0.29058257 0.         0.         0.5026059  0.35789847
 0.         0.00521558 0.3261342  0.5027966  0.         0.3243511
 0.6402043  0.735742   0.44811285 0.82050127 0.40458962 0.15682511
 1.089391   0.45189402 0.17961012 1.1904576  0.4738859  0.6829587
 0.21487252 0.39457485 0.17106524 0.53114736 0.6372767  0.89819324
 0.00654557 0.12022206 0.71547943 0.10125025 0.2519806  0.5719612
 0.3457922  0.41131675 1.1751281  0.         0.7700994  0.11891752
 0.590504   0.30349365]"
"2","Superman II","super-hero","https://en.wikipedia.org/wiki/Superman_II","[1.17588460e-01 0.00000000e+00 3.89082998e-01 2.97440350e-01
 1.45968631e-01 1.36778146e-01 0.00000000e+00 4.17393260e-02
 6.32125437e-02 3.54871631e-01 2.12158233e-01 4.21906501e-01
 0.00000000e+00 1.98920146e-01 3.04046690e-01 0.00000000e+00
 2.59454548e-01 0.00000000e+00 8.40544343e-01 3.70311022e-01
 1.55718207e-01 5.72782695e-01 2.29216576e-01 1.54265538e-01
 4.91878577e-02 4.70520616e-01 8.89302343e-02 1.02810569e-01
 2.39601657e-01 3.07151556e-01 2.63316393e-01 2.97702521e-01
 2.66866088e-02 0.00000000e+00 2.77538955e-01 1.71397440e-02
 3.71346414e-01 3.66608858e-01 1.12984347e+00 0.00000000e+00
 5.53885758e-01 0.00000000e+00 5.46654344e-01 5.61579108e-01
 1.26315355e-01 1.48704976e-01 1.34253711e-01 4.02127147e-01
 2.39518404e-01 4.14558828e-01 5.67783788e-02 4.74119544e-01
 7.57090628e-01 5.31412482e-01 4.75751981e-02 3.94893557e-01
 6.82670593e-01 3.61320853e-01 1.06021798e+00 4.36833560e-01
 1.62189037e-01 1.61131591e-01 2.28816360e-01 1.75547302e-01
 4.00245517e-01 0.00000000e+00 1.28447145e-01 0.00000000e+00
 2.45229349e-01 7.09009357e-04 6.18406460e-02 3.18735123e-01
 1.60497706e-03 0.00000000e+00 4.56666112e-01 0.00000000e+00
 7.04061210e-01 0.00000000e+00 6.04113042e-01 2.54530042e-01
 0.00000000e+00 0.00000000e+00 5.14157593e-01 4.42358017e-01
 3.58705431e-01 2.95336038e-01 2.00745389e-01 0.00000000e+00
 1.11991972e-01 2.14324325e-01 1.08711883e-01 0.00000000e+00
 4.69425973e-03 2.30409652e-01 4.63458985e-01 3.72923493e-01
 2.23369896e-03 7.10345805e-01 1.38398662e-01 2.88424075e-01
 4.28360343e-01 1.01642415e-01 6.49348199e-01 2.03077063e-01
 9.84768793e-02 4.74660337e-01 2.93028533e-01 4.56946641e-01
 8.09704602e-01 2.17741802e-01 2.21420497e-01 4.41166848e-01
 7.69645989e-01 4.95064616e-01 1.90305293e-01 2.15408102e-01
 2.61816680e-01 0.00000000e+00 5.51587641e-01 8.24108049e-02
 6.07028961e-01 4.06106472e-01 7.57735133e-01 0.00000000e+00
 2.01110154e-01 2.13490233e-01 0.00000000e+00 1.90929353e-01]"
"3","Birds of Prey (And the Fantabulous Emancipation…","super-hero","https://en.wikipedia.org/wiki/Birds_of_Prey_(2020_film)","[0.19619945 0.21868259 0.16642858 0.2948995  0.16217366 0.35018742
 0.3404056  0.06716679 0.42354208 0.29271433 0.28725058 0.619096
 0.14430262 0.17078874 0.11328267 0.34254214 0.03243452 0.25545996
 0.32646197 0.2887894  0.39960358 0.5708166  0.11454356 0.3704752
 0.60312253 0.7014059  0.24194689 0.04790098 0.         0.
 0.50040454 0.75817674 0.12443706 0.13329235 0.40585992 0.3032496
 0.85773385 0.43524122 0.         0.11960016 0.28761378 0.26746058
 0.1647813  0.2652445  0.08590519 0.4799737  0.14849325 0.39210817
 0.23167449 0.4660005  0.17993096 0.22013587 0.03554273 1.020336
 0.10964422 0.6462488  0.5061106  0.14517036 0.2400271  0.53620785
 0.18069425 0.18690917 0.15470028 0.62222254 0.5106173  0.31857425
 0.30830133 0.2960202  0.00566911 0.01974289 0.38692176 0.46307802
 0.42623693 0.         0.02214622 0.26726964 0.28148752 0.01017337
 0.44016507 0.         0.         0.47041804 0.14391673 0.31895652
 0.32600638 0.47671744 0.         0.         0.20002837 0.28691113
 0.42052406 0.3522107  0.1113518  0.32769692 0.         0.48792657
 0.04561424 0.4653981  0.4207695  0.46648848 0.37744612 0.07131705
 0.8062811  0.7034437  0.52186143 0.6812016  0.5021908  0.4962558
 0.06615339 0.08010781 0.         0.24768838 0.49291667 0.28551853
 0.14245084 0.5734294  0.5694796  0.13308643 0.3304788  0.493912
 0.46518764 0.1607197  0.49183783 0.21434906 0.18470761 0.
 0.43414614 0.08961768]"
"4","Green Lantern","super-hero","https://en.wikipedia.org/wiki/Green_Lantern_(film)","[0.3055819  0.18850312 0.41732824 0.21453102 0.05044808 0.17894177
 0.26847214 0.         0.22281928 0.05824556 0.30797458 0.6070637
 0.         0.39864036 0.12164731 0.4090814  0.         0.26470143
 0.38131636 0.27880085 0.15224259 0.5995043  0.1505472  0.2947383
 0.28133273 0.59532255 0.         0.10944872 0.12003674 0.11955822
 0.5754755  0.6642603  0.07445174 0.08529089 0.4377373  0.11465833
 1.0124359  0.32556915 0.09109065 0.0234306  0.56804436 0.08074851
 0.         0.35257468 0.10566849 0.50494725 0.         0.25419402
 0.24509703 0.5059322  0.12755969 0.3288877  0.21670124 1.0528979
 0.07166681 0.48952955 0.40193674 0.15378189 0.29256642 0.71622306
 0.10673516 0.09535253 0.23294553 0.6335179  0.4839077  0.21302818
 0.15788127 0.19455168 0.01517277 0.06478269 0.09469726 0.481817
 0.27090767 0.         0.07637427 0.00516889 0.45926666 0.06996773
 0.13618557 0.         0.         0.30139583 0.19102943 0.36458638
 0.40378666 0.26063508 0.         0.         0.15667166 0.4046299
 0.3499762  0.         0.         0.30282375 0.         0.37488616
 0.10624181 0.5688968  0.3027989  0.3214714  0.37466457 0.0595179
 0.98843485 0.56525683 0.01482722 0.85821825 0.35997146 0.48377532
 0.30979186 0.0601755  0.         0.23255342 0.5333765  0.5376452
 0.02202233 0.2614376  0.35401112 0.17576337 0.3402572  0.3198601
 0.6457312  0.15697373 0.95557004 0.         0.25980175 0.
 0.3281131  0.08883213]"
"5","The Green Hornet","super-hero","https://en.wikipedia.org/wiki/The_Green_Hornet_(2011_film)","[0.51456195 0.04295852 0.03237031 0.08038506 0.03546392 0.65152854
 0.28482997 0.79812956 0.28229696 0.4036663  0.14998497 0.4342304
 0.16577004 0.4394778  0.45990002 0.22272313 0.         0.3241917
 0.30464476 0.         0.1699443  0.8641839  0.08221933 0.20565742
 0.02161779 0.8400635  0.38837945 0.         0.01404279 0.
 0.06772033 0.15455604 0.20925996 0.         0.28200305 0.12461981
 0.03627726 0.         0.9411326  0.6634479  0.21013074 0.
 0.3087163  0.15938249 0.         0.70612884 0.47598085 0.8470581
 0.49729943 0.7591823  0.5003333  0.4367074  0.         0.44216913
 0.         0.3955901  0.15660162 0.67489624 0.2939484  0.
 0.6385718  0.15350951 0.56171626 0.6582851  0.7655176  0.40915632
 0.6845212  0.7495824  0.30354226 0.32057372 0.         0.30414972
 0.39614612 0.         0.2908341  0.         0.6408533  0.
 0.37539876 0.         0.2875742  0.12856191 1.2212181  0.
 0.08306745 0.2124164  0.82771254 0.11659794 0.         0.27343366
 0.3143012  0.14522383 0.42094642 0.00673714 0.23136587 0.09213261
 0.0333258  0.34539574 0.         0.         0.50792515 0.09042849
 0.6714182  0.01884792 0.21821655 0.33583087 0.01414126 0.
 0.38480374 0.34576342 0.01403425 0.34253153 0.8366355  0.29660675
 0.44199964 0.         0.59300184 0.06231402 1.096997   0.3963407
 0.32209006 0.3003068  0.4505481  0.04169891 0.18854438 0.0758705
 0.6283137  0.10739044]"
"6","Ghost Rider","super-hero","https://en.wikipedia.org/wiki/Ghost_Rider_(2007_film)","[0.32188222 0.4493785  0.         0.0055678  0.         0.38602278
 0.         0.3535719  0.6705435  0.48218408 0.29723525 0.6481119
 0.701841   0.5579132  0.11955191 0.01509201 0.07438823 0.29012468
 0.         0.5072268  0.         0.07001791 0.7703765  0.19188401
 0.         0.32178968 0.1389668  0.41174924 0.03918238 0.68551826
 0.5749292  0.40000683 0.2372884  0.41003639 0.9374223  0.
 0.31354696 1.0192968  0.10695101 0.28892902 0.         0.25360286
 0.7092175  0.         0.2501498  0.952923   0.5208649  0.
 0.3719371  0.45588648 0.847296   0.4966736  0.34302944 0.60376877
 0.05664322 0.20679218 0.         0.8151888  0.79483634 0.04668448
 0.01669013 0.42528257 0.33880475 0.12761146 1.0394524  0.57043576
 0.53833514 1.2610177  0.         0.40038124 0.17457058 0.54350317
 1.0647391  0.12264467 0.         0.         0.46638906 0.14782777
 0.02622569 0.03024065 0.01585905 0.96364504 0.25190932 0.09346544
 0.         0.12643617 0.65446407 0.         0.13702632 0.78824854
 0.10713248 0.01988536 0.10112001 0.06106821 0.46283692 0.
 0.         0.43242064 0.42714897 0.3697747  0.14110845 0.8565865
 0.61303    0.45825538 0.29778355 1.104117   0.9781177  0.5447503
 0.33458662 0.         0.01240711 0.25839272 0.4659282  0.5810536
 0.         0.9239792  0.10315993 0.42888314 0.57854617 0.47728243
 0.7394254  0.4676749  0.768905   0.3359217  0.18355021 0.
 0.35727873 0.45764646]"
"7","Batman & Robin","super-hero","https://en.wikipedia.org/wiki/Batman_%26_Robin_(film)","[0.2508787  0.23190066 0.4929369  0.551306   0.18689656 0.02267044
 0.19570144 0.         0.19585748 0.1085357  0.5369933  0.34968856
 0.06969362 0.49191645 0.09854343 0.72069937 0.05160204 0.6434341
 0.5310839  0.16338894 0.08546102 1.0751905  0.18126367 0.42238614
 0.42743355 0.62790495 0.         0.32028103 0.         0.2131573
 0.5816685  0.574212   0.2304463  0.16209583 0.38634863 0.3669981
 0.70591456 0.16148221 0.11067113 0.         0.74377054 0.
 0.12041175 0.3146643  0.16909133 0.36569497 0.14920962 0.3023021
 0.06710222 0.5414457  0.06660626 0.2232371  0.2780863  1.1495885
 0.26223344 0.5747478  0.3771958  0.15914479 0.3527761  1.2516999
 0.         0.17229834 0.14399843 0.70797735 0.44247785 0.06476101
 0.25062016 0.24491382 0.07734357 0.160257   0.         0.24863061
 0.20420855 0.         0.         0.21927655 0.21235877 0.
 0.07720661 0.         0.         0.32944712 0.07039569 0.326519
 0.20264082 0.24752288 0.         0.00415016 0.1821306  0.30918586
 0.5188832  0.2578604  0.         0.17367503 0.         0.3290199
 0.04260913 0.6269041  0.24349989 0.         0.17694877 0.05658552
 0.9678245  0.66125864 0.01661022 0.64228743 0.5423001  0.6713726
 0.263854   0.21215095 0.         0.168998   0.25359765 0.30563837
 0.4254139  0.33528    0.58735836 0.39808267 0.29129624 0.5388616
 1.0180352  0.07231085 0.7402312  0.         0.623646   0.
 0.         0.        ]"
"8","Hulk","super-hero","https://en.wikipedia.org/wiki/Hulk_(film)","[0.1243764  0.         0.09245113 0.18289723 0.06381432 0.03912187
 0.22283654 0.3061622  0.92316514 0.37382263 0.         0.9066988
 0.02062883 0.46786496 0.23059028 0.         0.15245186 0.08166674
 0.58764523 0.4522668  0.11533113 0.         0.131661   0.18672302
 0.38442248 0.66136837 0.62511367 0.53422236 0.4325277  0.40794292
 0.0263439  0.4220922  0.51505893 0.         0.0275869  0.322637
 0.06201753 0.81953883 0.44810882 0.         0.         0.05532387
 0.9283485  0.         0.26522115 0.4286344  0.14285424 0.30620235
 0.         0.36411902 0.6060152  0.71240944 0.         0.02778804
 0.19529097 0.7157849  0.74691707 0.09253137 1.3190581  0.38137293
 0.36876503 0.2238246  0.         0.48375848 1.1376193  0.13723087
 0.28110337 0.4839194  0.58145285 0.04748594 0.46053833 0.0071012
 0.83208233 0.         0.49802405 0.10288893 0.56468743 0.
 1.1330557  0.13330567 0.         0.13629806 0.06167732 0.84050274
 0.         0.35483626 0.76693743 0.11267258 0.         0.29900315
 0.34228113 0.19012417 0.10993758 0.         0.715343   0.1907751
 0.         0.2485554  0.6940727  0.8159964  0.12904832 0.02365761
 0.08121425 0.56771064 0.41740692 0.68173367 0.77760416 0.8119264
 0.09535819 0.20979847 0.20840316 0.5783366  0.03330841 0.44183698
 0.30723146 0.9438922  0.74510676 0.12400121 0.8934855  0.7227633
 0.19042239 0.58837426 0.44338208 0.46831083 0.2651236  0.02667734
 0.         0.24188693]"
"9","Teenage Mutant Ninja Turtles: Out of the Shadows","super-hero","https://en.wikipedia.org/wiki/Teenage_Mutant_Ninja_Turtles:_Out_of_the_Shadows","[0.32013866 0.09380361 0.7772688  0.49355334 0.2143814  0.47101685
 0.05710324 0.30331522 0.6063552  0.44731322 0.         0.03485905
 0.34237254 0.7067136  0.5129723  0.         0.         1.2607294
 0.06256139 0.02414803 0.29168084 0.5405451  0.19171128 0.39212778
 0.25385678 0.5423613  0.         0.         0.06307394 0.1980013
 0.9305876  0.19979483 0.32783547 0.13014382 0.42364284 0.33482888
 0.21402268 0.2993154  0.47075588 0.22711022 0.5081644  0.
 0.05323499 0.02601516 0.25781363 0.44227448 0.29882807 0.335956
 0.21454212 0.57638747 0.48229077 0.38807723 0.4747191  0.9509013
 0.         0.6219385  1.0483035  0.5607592  0.5327542  0.39694324
 0.10879193 0.06565776 0.10873234 0.7555332  0.99041873 0.
 0.11822557 0.62175447 0.15592729 0.16857065 0.06950691 0.37641808
 0.32382777 0.         0.3569354  0.24664047 0.45989263 0.17801104
 0.06200808 0.         0.19788034 0.         0.20718753 0.59268475
 0.10186733 0.         0.11724492 0.         0.         0.918962
 0.39175    0.         0.4016712  0.17947368 0.17682068 0.32563868
 0.07993394 0.23497127 0.21831737 0.3587366  0.         0.18869202
 0.4210132  0.4125805  0.         0.2029269  0.5345864  0.22433399
 0.0661222  0.23627625 0.         0.1905702  0.26222348 0.09002792
 0.         0.39971122 0.5265888  0.12049018 0.8180971  0.
 0.6249541  0.33235815 0.50685155 0.04951885 0.5320748  0.07332441
 0.7459002  0.        ]"
